feature,importance
age,0.5235016001067254
stress_score,0.1964175672304887
spo2,0.06270848322539367
hrv_sdnn,0.022635988816788195
camera_hrv,0.02247821317008476
hrv_rmssd,0.02082801583545503
camera_heart_rate,0.019250834736945593
body_temperature,0.01783532848300176
fatigue_score,0.017615075419522886
estimated_age,0.017226330630815887
heart_rate,0.01711052669430237
pulse_rate,0.01672821075132394
skin_perfusion_index,0.01629679137488574
respiration_rate_camera,0.012441849822629131
respiratory_rate,0.011944278962397269
activity_level,0.002939306283555935
sex,0.00204159845568367
